Title,Location,Price,Area
                        Apartment Schimmelstraat                            ,            1053 TA Amsterdam (Kinkerbuurt)        ,"                €2,650 per month            ",100 m²
                        Apartment Wijenburg 94                            ,            1082 VX Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",63 m²
                        Apartment Jan Luijkenstraat 70 C                            ,            1071 CS Amsterdam (Museumkwartier)        ,"                €2,400 per month            ",75 m²
                        Apartment Reinwardtstraat                            ,            1093 GV Amsterdam (Dapperbuurt)        ,"                €1,700 per month            ",60 m²
                        Apartment Grootzeil                            ,            1034 LV Amsterdam (Banne Buiksloot)        ,"                €2,250 per month            ",93 m²
                        Apartment Laurierstraat                            ,            1016 PS Amsterdam (Jordaan)        ,"                €1,750 per month            ",62 m²
                        Apartment De Lairessestraat                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €2,300 per month            ",86 m²
                        House Johannes Verhulststraat 151 H                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²
                        Apartment Kwakersstraat 25                            ,            1053 WC Amsterdam (Kinkerbuurt)        ,"                €2,500 per month            ",73 m²
                        Apartment Brederodestraat 25 D                            ,            1054 MR Amsterdam (Helmersbuurt)        ,"                €2,200 per month            ",60 m²
                        Apartment Stadionkade 70 2                            ,            1077 VS Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",110 m²
                        Apartment Vondelkerkstraat                            ,            1054 KX Amsterdam (Overtoomse Sluis)        ,"                €2,950 per month            ",77 m²
                        Apartment S. F. van Ossstraat                            ,            1068 JN Amsterdam (Osdorp-Oost)        ,"                €1,550 per month            ",55 m²
                        Apartment Sarphatipark                            ,            1073 CZ Amsterdam (Nieuwe Pijp)        ,"                €3,500 per month            ",88 m²
                        Apartment Geldersekade 45 A                            ,            1011 EJ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,600 per month            ",46 m²
                        Apartment KNSM-laan                            ,            1019 LG Amsterdam (Oostelijk Havengebied)        ,"                €1,850 per month            ",60 m²
                        Apartment Rozengracht 114 I                            ,            1016 NH Amsterdam (Jordaan)        ,"                €2,640 per month            ",88 m²
                        Apartment Westerdoksdijk 305                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",82 m²
                        Apartment Singel 436 E                            ,            1017 AV Amsterdam (Grachtengordel-Zuid)        ,"                €3,250 per month            ",140 m²
                        Apartment Rustenburgerstraat                            ,            1072 HD Amsterdam (Nieuwe Pijp)        ,"                €2,650 per month            ",65 m²
                        Apartment Overtoom 493 1                            ,            1054 LG Amsterdam (Overtoomse Sluis)        ,"                €3,000 per month            ",169 m²
                        Apartment Bos en Lommerweg                            ,            1055 DX Amsterdam (Erasmuspark)        ,"                €2,250 per month            ",75 m²
                        Apartment Lindengracht 62 2                            ,            1015 KJ Amsterdam (Jordaan)        ,"                €4,500 per month            ",210 m²
                        Apartment Baden Powellweg                            ,            1069 LH Amsterdam (Osdorp-Midden)        ,"                €1,300 per month            ",35 m²
                        Apartment Rozenstraat 213 1RA                            ,            1016 NT Amsterdam (Jordaan)        ,"                €1,600 per month            ",43 m²
                        Apartment John Blankensteinstraat 59 1                            ,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,450 per month            ",48 m²
                        Apartment Overtoom                            ,            1054 JD Amsterdam (Helmersbuurt)        ,"                €2,750 per month            ",87 m²
                        House Schapenburgerpad 20                            ,            1071 ZA Amsterdam (Museumkwartier)        ,"                €4,000 per month            ",198 m²
                        Apartment Prinsengracht 689 4                            ,            1017 JV Amsterdam (Grachtengordel-Zuid)        ,"                €2,250 per month            ",65 m²
                        Apartment Lauriergracht                            ,            1016 RN Amsterdam (Jordaan)        ,"                €2,150 per month            ",65 m²
                        Apartment Rupelmonde                            ,            1081 GP Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",73 m²
